Year,Country Index,Country,Region Index,Region,Province / State,City,Latitude,Longitude,Multiple Attack,Success Attack,Suicide,Attack Type Index,Attack Type,Target Type Index,Target Type,Weapon Type Index,Weapon Type,Total No. of Fatalities,Total No. of Injured,Total No. of Hostages/Kidnapping Victims
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,13,25,
2007,95,Iraq,10,Middle East & North Africa,Basra,Basra,30.510054,47.778095,0,1,0,6,Hostage Taking (Kidnapping),1,Business,5,Firearms,3,0,3
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,1,Assassination,3,Police,6,Explosives,1,6,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,6,Airports & Aircraft,5,Firearms,4,9,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,3,1,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0,3,
2007,95,Iraq,10,Middle East & North Africa,Karbala,Karbala,32.604393,44.007145,0,1,0,2,Armed Assault,14,Private Citizens & Property,5,Firearms,11,14,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Tal Afar,36.376823,42.448875,0,1,1,3,Bombing/Explosion,3,Police,6,Explosives,5,10,
2007,95,Iraq,10,Middle East & North Africa,Nineveh,Tal Afar,36.376823,42.448875,0,0,1,1,Assassination,2,Government (General),6,Explosives,1,1,
2007,95,Iraq,10,Middle East & North Africa,Babil,Mahmudiyah,33.057991,44.354839,0,1,0,3,Bombing/Explosion,1,Business,6,Explosives,2,0,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,3,Bombing/Explosion,3,Police,6,Explosives,0,1,
2007,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,33.303566,44.371773,0,1,0,2,Armed Assault,15,Religious Figures/Institutions,5,Firearms,0,2,
