Attack Type,Fatalities
Armed Assault,4
Armed Assault,11
Armed Assault,0
Armed Assault,1
Armed Assault,10
Armed Assault,2
Armed Assault,4
Armed Assault,0
Armed Assault,1
Armed Assault,7
Armed Assault,10
Armed Assault,1
Armed Assault,14
Armed Assault,14
Armed Assault,3
Armed Assault,3
Armed Assault,2
Armed Assault,2
Armed Assault,2
Armed Assault,3
Armed Assault,3
Armed Assault,9
Armed Assault,1
Armed Assault,25
Armed Assault,1
Armed Assault,0
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,4
Armed Assault,3
Armed Assault,1
Armed Assault,9
Armed Assault,2
Armed Assault,45
Armed Assault,2
Armed Assault,1
Armed Assault,1
Armed Assault,6
Armed Assault,1
Armed Assault,13
Armed Assault,1
Armed Assault,6
Armed Assault,0
Armed Assault,11
Armed Assault,3
Armed Assault,0
Armed Assault,3
Armed Assault,2
Armed Assault,16
Armed Assault,7
Armed Assault,8
Armed Assault,1
Armed Assault,2
Armed Assault,1
Armed Assault,2
Armed Assault,5
Armed Assault,4
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,6
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,15
Armed Assault,2
Armed Assault,2
Armed Assault,1
Armed Assault,0
Armed Assault,0
Armed Assault,2
Armed Assault,2
Armed Assault,1
Armed Assault,5
Armed Assault,0
Armed Assault,7
Armed Assault,1
Armed Assault,1
Armed Assault,5
Armed Assault,1
Armed Assault,3
Armed Assault,0
Armed Assault,1
Armed Assault,1
Armed Assault,0
Armed Assault,2
Armed Assault,2
Armed Assault,3
Armed Assault,4
Armed Assault,3
Armed Assault,2
Armed Assault,2
Armed Assault,4
Armed Assault,10
Armed Assault,2
Armed Assault,3
Armed Assault,43
Armed Assault,3
Armed Assault,2
Armed Assault,3
Armed Assault,29
Armed Assault,2
Armed Assault,7
Armed Assault,2
Armed Assault,2
Armed Assault,2
Armed Assault,3
Armed Assault,27
Armed Assault,0
Armed Assault,1
Armed Assault,6
Armed Assault,14
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,0
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,0
Armed Assault,3
Armed Assault,0
Armed Assault,1
Armed Assault,3
Armed Assault,2
Armed Assault,1
Armed Assault,1
Armed Assault,4
Armed Assault,0
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,2
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,4
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,0
Armed Assault,6
Armed Assault,3
Armed Assault,7
Armed Assault,1
Armed Assault,1
Armed Assault,2
Armed Assault,5
Armed Assault,1
Armed Assault,0
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,6
Armed Assault,0
Armed Assault,2
Armed Assault,3
Armed Assault,2
Armed Assault,3
Armed Assault,1
Armed Assault,2
Armed Assault,2
Armed Assault,0
Armed Assault,1
Armed Assault,0
Armed Assault,14
Armed Assault,0
Armed Assault,1
Armed Assault,22
Armed Assault,22
Armed Assault,2
Armed Assault,0
Armed Assault,2
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,0
Armed Assault,1
Armed Assault,1
Armed Assault,1
Armed Assault,5
Armed Assault,11
Armed Assault,1
Armed Assault,0
Armed Assault,7
Armed Assault,1
Armed Assault,0
Armed Assault,0
Armed Assault,3
Armed Assault,1
Armed Assault,0
Armed Assault,1
Armed Assault,1
